P6	head of government (P6)
P749	parent organization (P749)
P750	distributor (P750)
P751	introduced feature (P751)
P765	surface played on (P765)
P767	contributor (P767)
P768	electoral district (P768)
P769	significant drug interaction (P769)
P770	cause of destruction (P770)
P780	symptoms (P780)
P783	hymenium type (P783)
P784	mushroom cap shape (P784)
P785	hymenium attachment (P785)
P786	stipe character (P786)
P787	spore print color (P787)
P788	mushroom ecological type (P788)
P789	edibility (P789)
P790	approved by (P790)
P793	significant event (P793)
P795	distance along (P795)
P796	geo datum (P796)
P797	authority (P797)
P800	notable work (P800)
P802	student (P802)
P803	professorship (P803)
P805	subject of (P805)
P807	separated from (P807)
P811	academic minor (P811)
P812	academic major (P812)
P814	IUCN protected areas category (P814)
P816	decays to (P816)
P822	mascot (P822)
P823	speaker (P823)
P825	dedicated to (P825)
P826	tonality (P826)
P828	has cause (P828)
P831	parent club (P831)
P832	public holiday (P832)
P833	interchange station (P833)
P837	day in year for periodic occurrence (P837)
P840	narrative location (P840)
P841	feast day (P841)
P852	ESRB rating (P852)
P853	CERO rating (P853)
P859	sponsor (P859)
P868	foods traditionally associated (P868)
P870	instrumentation (P870)
P872	printed by (P872)
P878	avionics (P878)
P880	CPU (P880)
P881	type of variable star (P881)
P885	origin of the watercourse (P885)
P908	PEGI rating (P908)
P910	topic's main category (P910)
P912	has facility (P912)
P913	notation (P913)
P914	USK rating (P914)
P915	filming location (P915)
P916	GSRR rating (P916)
P921	main subject (P921)
P923	medical examinations (P923)
P924	medical treatment (P924)
P925	presynaptic connection (P925)
P926	postsynaptic connection (P926)
P928	activating neurotransmitter (P928)
P930	type of electrification (P930)
P931	place served by airport (P931)
P937	work location (P937)
P941	inspired by (P941)
P942	theme music (P942)
P943	programmer (P943)
P944	Code of nomenclature (P944)
P945	allegiance (P945)
P967	guest of honor (P967)
P971	category combines topics (P971)
P972	catalog (P972)
P974	tributary (P974)
P991	successful candidate (P991)
P1001	applies to jurisdiction (P1001)
P1002	engine configuration (P1002)
P1012	including (P1012)
P1018	language regulatory body (P1018)
P1026	doctoral thesis (P1026)
P1027	conferred by (P1027)
P1028	donated by (P1028)
P1029	crew member (P1029)
P1032	Digital Rights Management system (P1032)
P1033	GHS signal word (P1033)
P1035	honorific suffix (P1035)
P1037	manager/director (P1037)
P1038	relative (P1038)
P1039	type of kinship (P1039)
P1040	film editor (P1040)
P1046	discovery method (P1046)
P1049	deity of (P1049)
P1050	medical condition (P1050)
P1056	product (P1056)
P1057	chromosome (P1057)
P1060	pathogen transmission process (P1060)
P1064	track gauge (P1064)
P1066	student of (P1066)
P1068	instruction set (P1068)
P1071	location of final assembly (P1071)
P1072	readable file format (P1072)
P1073	writable file format (P1073)
P1074	fictional analog of (P1074)
P1075	rector (P1075)
P1079	launch contractor (P1079)
P1080	from fictional universe (P1080)
P1136	solved by (P1136)
P1137	fossil found in this unit (P1137)
P1142	political ideology (P1142)
P1145	Lagrangian point (P1145)
P1151	topic's main Wikimedia portal (P1151)
P1158	location of landing (P1158)
P1165	home world (P1165)
P1192	connecting service (P1192)
P1196	manner of death (P1196)
P1200	bodies of water basin category (P1200)
P1201	space tug (P1201)
P1202	carries scientific instrument (P1202)
P1204	Wikimedia portal's main topic (P1204)
P1211	fuel system (P1211)
P1264	valid in period (P1264)
P1268	represents organisation (P1268)
P1269	facet of (P1269)
P1283	filmography (P1283)
P1290	godparent (P1290)
P1299	depicted by (P1299)
P1302	primary destinations (P1302)
P1303	instrument (P1303)
P1304	central bank (P1304)
P1308	officeholder (P1308)
P1312	has facet polytope (P1312)
P1313	office held by head of government (P1313)
P1318	proved by (P1318)
P1321	place of origin (Switzerland) (P1321)
P1322	dual to (P1322)
P1327	professional or sports partner (P1327)
P1336	territory claimed by (P1336)
P1340	eye color (P1340)
P1343	described by source (P1343)
P1344	participant of (P1344)
P1346	winner (P1346)
P1347	military casualty classification (P1347)
P1363	points/goal scored by (P1363)
P1365	replaces (P1365)
P1366	replaced by (P1366)
P1372	binding of software library (P1372)
P1376	capital of (P1376)
P1382	coincident with (P1382)
P1383	contains settlement (P1383)
P1387	political alignment (P1387)
P1389	product certification (P1389)
P1393	proxy (P1393)
P1398	structure replaces (P1398)
P1399	convicted of (P1399)
P1403	original combination (P1403)
P1406	script directionality (P1406)
P1408	licensed to broadcast to (P1408)
P1411	nominated for (P1411)
P1412	languages spoken or written (P1412)
P1414	GUI toolkit or framework (P1414)
P1416	affiliation (P1416)
P1419	shape (P1419)
P1420	taxon synonym (P1420)
P1423	template's main topic (P1423)
P1424	topic's main template (P1424)
P1427	start point (P1427)
P1429	pet (P1429)
P1431	executive producer (P1431)
P1432	b-side (P1432)
P1433	published in (P1433)
P1434	describes the fictional universe (P1434)
P1435	heritage status (P1435)
P1441	present in work (P1441)
P1444	destination point (P1444)
P1445	fictional universe described in (P1445)
P1454	legal form (P1454)
P1455	list of works (P1455)
P1456	list of monuments (P1456)
P1462	standards body (P1462)
P1464	category for people born here (P1464)
P1465	category for people who died here (P1465)
P1478	has immediate cause (P1478)
P1479	has contributing factor (P1479)
P1531	parent(s) of this hybrid (P1531)
P1532	country for sport (P1532)
P1533	family name identical to this first name (P1533)
P1534	end cause (P1534)
P1535	used by (P1535)
P1536	immediate cause of (P1536)
P1537	contributing factor of (P1537)
P1542	cause of (P1542)
P1546	motto (P1546)
P1547	depends on software (P1547)
P1552	has quality (P1552)
P1557	manifestation of (P1557)
P1558	tempo marking (P1558)
P1560	given name version for other gender (P1560)
P1568	domain (P1568)
P1571	codomain (P1571)
P1574	exemplar of (P1574)
P1576	lifestyle (P1576)
P1582	natural product of taxon (P1582)
P1589	deepest point (P1589)
P1591	defendant (P1591)
P1592	prosecutor (P1592)
P1593	defender (P1593)
P1594	judge (P1594)
P1595	charge (P1595)
P1596	penalty (P1596)
P1597	P1597
P1598	consecrator (P1598)
P1605	has natural reservoir (P1605)
P1606	natural reservoir of (P1606)
P1611	NATO code for grade (P1611)
P1620	plaintiff (P1620)
P1622	driving side (P1622)
P1637	undercarriage (P1637)
P1639	pendant of (P1639)
P1640	curator (P1640)
P1652	referee (P1652)
P1654	wing configuration (P1654)
P1656	unveiled by (P1656)
P1657	MPAA film rating (P1657)
P1672	this taxon is source of (P1672)
P1678	has vertex figure (P1678)
P1703	is pollinated by (P1703)
P1704	is pollinator of (P1704)
P1716	brand (P1716)
P1731	Fach (P1731)
P1740	category for films shot at this location (P1740)
P1750	name day (P1750)
P1753	list related to category (P1753)
P1754	category related to list (P1754)
P1773	attributed to (P1773)
P1774	workshop of (P1774)
P1789	chief operating officer (P1789)
P1791	category of people buried here (P1791)
P1792	category of associated people (P1792)
P1809	choreographer (P1809)
P1811	list of episodes (P1811)
P1817	addressee (P1817)
P1830	owner of (P1830)
P1851	input set (P1851)
P1853	blood type (P1853)
P1875	represented by (P1875)
P1876	spacecraft (P1876)
P1877	after a work by (P1877)
P1880	measured by (P1880)
P1881	list of characters (P1881)
P1884	hair color (P1884)
P1885	cathedral (P1885)
P1887	vice-county (P1887)
